Admission No,Student Name,Class,Term,Year,Subject,Score,Grade,Class Rank,Teacher Comment
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Kiswahili,85,A,6,Excellent work. Keep it up!
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Mathematics,70,B+,16,Very good performance. Focus on the few weak areas.
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Science & Technology,88,A,3,Very good performance. Focus on the few weak areas.
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Social Studies,90,A,2,Good effort. Can improve with more practice.
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Religious Education,89,A,3,Shows understanding of key concepts.
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Creative Arts,82,A,7,Steady progress. Do more revision.
ADM-1310,Kipchoge Adhiambo,Grade 5 A,Term 1,2026,Physical & Health Education,91,A,1,Satisfactory. Needs consistent practice.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,English,75,A-,9,Steady progress. Do more revision.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Kiswahili,52,C,30,Excellent work. Keep it up!
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Mathematics,67,B,19,Very good performance. Focus on the few weak areas.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Science & Technology,75,A-,11,Shows understanding of key concepts.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Social Studies,78,A-,8,Satisfactory. Needs consistent practice.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Religious Education,65,B,19,Satisfactory. Needs consistent practice.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Creative Arts,56,C+,31,Average. Put more effort into homework.
ADM-1311,Amos Chepkirui,Grade 5 A,Term 1,2026,Physical & Health Education,62,B-,24,Excellent work. Keep it up!
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,English,70,B+,15,Good effort. Can improve with more practice.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Kiswahili,93,A,2,Below average. Extra tuition recommended.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Mathematics,81,A,6,Satisfactory. Needs consistent practice.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Science & Technology,93,A,2,Steady progress. Do more revision.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Social Studies,86,A,3,Very good performance. Focus on the few weak areas.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Religious Education,80,A,8,Average. Put more effort into homework.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Creative Arts,90,A,3,Below average. Extra tuition recommended.
ADM-1312,Esther Kipsang,Grade 5 A,Term 1,2026,Physical & Health Education,76,A-,5,Needs significant improvement. Revise earlier topics.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,English,65,B,20,Excellent work. Keep it up!
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Kiswahili,64,B-,20,Very good performance. Focus on the few weak areas.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Mathematics,63,B-,24,Average. Put more effort into homework.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Science & Technology,69,B,20,Good effort. Can improve with more practice.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Social Studies,57,C+,28,Very good performance. Focus on the few weak areas.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Religious Education,79,A-,9,Below average. Extra tuition recommended.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Creative Arts,68,B,19,Very good performance. Focus on the few weak areas.
ADM-1313,Shalom Kimutai,Grade 5 A,Term 1,2026,Physical & Health Education,79,A-,3,Below average. Extra tuition recommended.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,English,56,C+,29,Excellent work. Keep it up!
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Kiswahili,61,B-,24,Steady progress. Do more revision.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Mathematics,71,B+,15,Steady progress. Do more revision.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Science & Technology,73,B+,18,Average. Put more effort into homework.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Social Studies,68,B,16,Satisfactory. Needs consistent practice.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Religious Education,66,B,18,Very good performance. Focus on the few weak areas.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Creative Arts,62,B-,25,Very good performance. Focus on the few weak areas.
ADM-1314,Donald Njenga,Grade 5 A,Term 1,2026,Physical & Health Education,61,B-,28,Average. Put more effort into homework.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,English,83,A,5,Good effort. Can improve with more practice.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Kiswahili,88,A,5,Performs well under guidance. Keep practising.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Mathematics,91,A,2,Satisfactory. Needs consistent practice.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Science & Technology,74,B+,15,Satisfactory. Needs consistent practice.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Social Studies,76,A-,10,Needs significant improvement. Revise earlier topics.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Religious Education,72,B+,11,Satisfactory. Needs consistent practice.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Creative Arts,73,B+,14,Very good performance. Focus on the few weak areas.
ADM-1315,Abigail Kinyua,Grade 5 A,Term 1,2026,Physical & Health Education,78,A-,4,Needs significant improvement. Revise earlier topics.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,English,61,B-,24,Very good performance. Focus on the few weak areas.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Kiswahili,48,C-,32,Good effort. Can improve with more practice.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Mathematics,70,B+,17,Good effort. Can improve with more practice.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Science & Technology,74,B+,16,Average. Put more effort into homework.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Social Studies,57,C+,29,Steady progress. Do more revision.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Religious Education,49,C-,30,Average. Put more effort into homework.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Creative Arts,67,B,20,Good effort. Can improve with more practice.
ADM-1316,Winfred Kariuki,Grade 5 A,Term 1,2026,Physical & Health Education,65,B,18,Average. Put more effort into homework.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,English,75,A-,10,Needs significant improvement. Revise earlier topics.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Kiswahili,71,B+,15,Good effort. Can improve with more practice.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Mathematics,64,B-,23,Steady progress. Do more revision.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Science & Technology,81,A,8,Average. Put more effort into homework.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Social Studies,67,B,18,Excellent work. Keep it up!
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Religious Education,82,A,7,Good effort. Can improve with more practice.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Creative Arts,74,B+,11,Satisfactory. Needs consistent practice.
ADM-1317,Ian Omar,Grade 5 A,Term 1,2026,Physical & Health Education,69,B,12,Satisfactory. Needs consistent practice.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,English,62,B-,23,Average. Put more effort into homework.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Kiswahili,59,C+,26,Steady progress. Do more revision.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Mathematics,62,B-,25,Average. Put more effort into homework.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Science & Technology,ABS,ABS,,Absent for the examination.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Social Studies,64,B-,23,Excellent work. Keep it up!
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Religious Education,67,B,17,Steady progress. Do more revision.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Creative Arts,60,B-,29,Satisfactory. Needs consistent practice.
ADM-1318,Teresia Mutuku,Grade 5 A,Term 1,2026,Physical & Health Education,67,B,17,Good effort. Can improve with more practice.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,English,52,C,31,Very good performance. Focus on the few weak areas.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Kiswahili,71,B+,16,Steady progress. Do more revision.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Mathematics,73,B+,12,Excellent work. Keep it up!
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Science & Technology,66,B,22,Steady progress. Do more revision.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Social Studies,64,B-,24,Average. Put more effort into homework.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Religious Education,56,C+,27,Average. Put more effort into homework.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Creative Arts,78,A-,8,Very good performance. Focus on the few weak areas.
ADM-1319,Trevor Adhiambo,Grade 5 A,Term 1,2026,Physical & Health Education,62,B-,25,Good effort. Can improve with more practice.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,English,71,B+,14,Very good performance. Focus on the few weak areas.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Kiswahili,62,B-,22,Very good performance. Focus on the few weak areas.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Mathematics,59,C+,29,Excellent work. Keep it up!
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Science & Technology,62,B-,25,Average. Put more effort into homework.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Social Studies,65,B,21,Good effort. Can improve with more practice.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Religious Education,70,B+,14,Satisfactory. Needs consistent practice.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Creative Arts,74,B+,12,Steady progress. Do more revision.
ADM-1320,George Okello,Grade 5 A,Term 1,2026,Physical & Health Education,68,B,14,Excellent work. Keep it up!
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,English,65,B,21,Average. Put more effort into homework.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Kiswahili,83,A,7,Satisfactory. Needs consistent practice.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Mathematics,55,C+,31,Average. Put more effort into homework.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Science & Technology,80,A,9,Excellent work. Keep it up!
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Social Studies,66,B,19,Very good performance. Focus on the few weak areas.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Religious Education,63,B-,22,Satisfactory. Needs consistent practice.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Creative Arts,63,B-,24,Very good performance. Focus on the few weak areas.
ADM-1321,Dorcas Maina,Grade 5 A,Term 1,2026,Physical & Health Education,56,C+,30,Satisfactory. Needs consistent practice.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,English,72,B+,12,Steady progress. Do more revision.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Kiswahili,90,A,3,Good effort. Can improve with more practice.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Mathematics,79,A-,7,Very good performance. Focus on the few weak areas.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Science & Technology,69,B,21,Steady progress. Do more revision.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Social Studies,73,B+,12,Very good performance. Focus on the few weak areas.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Religious Education,62,B-,23,Steady progress. Do more revision.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Creative Arts,74,B+,13,Average. Put more effort into homework.
ADM-1322,Sonia Simiyu,Grade 5 A,Term 1,2026,Physical & Health Education,64,B-,19,Average. Put more effort into homework.
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,English,76,A-,8,Very good performance. Focus on the few weak areas.
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Kiswahili,57,C+,28,Excellent work. Keep it up!
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Mathematics,74,B+,11,Steady progress. Do more revision.
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Science & Technology,63,B-,24,Excellent work. Keep it up!
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Social Studies,75,A-,11,Steady progress. Do more revision.
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Religious Education,64,B-,21,Average. Put more effort into homework.
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Creative Arts,61,B-,26,Excellent work. Keep it up!
ADM-1323,Daniel Maina,Grade 5 A,Term 1,2026,Physical & Health Education,52,C,32,Good effort. Can improve with more practice.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,English,72,B+,13,Excellent work. Keep it up!
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Kiswahili,81,A,8,Needs significant improvement. Revise earlier topics.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Mathematics,79,A-,8,Steady progress. Do more revision.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Science & Technology,76,A-,10,Shows understanding of key concepts.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Social Studies,82,A,5,Shows understanding of key concepts.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Religious Education,85,A,4,Steady progress. Do more revision.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Creative Arts,73,B+,15,Satisfactory. Needs consistent practice.
ADM-1324,Tabitha Sironka,Grade 5 A,Term 1,2026,Physical & Health Education,71,B+,10,Good effort. Can improve with more practice.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,English,71,B+,17,Very good performance. Focus on the few weak areas.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Kiswahili,83,A,6,Good effort. Can improve with more practice.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Mathematics,64,B-,23,Average. Put more effort into homework.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Science & Technology,78,A-,7,Performs well under guidance. Keep practising.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Social Studies,67,B,21,Good effort. Can improve with more practice.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Religious Education,80,A,8,Good effort. Can improve with more practice.
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Creative Arts,77,A-,8,Excellent work. Keep it up!
ADM-1325,Veronica Pekeri,Grade 5 B,Term 1,2026,Physical & Health Education,83,A,5,Below average. Extra tuition recommended.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,English,74,B+,15,Average. Put more effort into homework.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Kiswahili,65,B,21,Average. Put more effort into homework.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Mathematics,66,B,22,Good effort. Can improve with more practice.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Science & Technology,72,B+,14,Steady progress. Do more revision.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Social Studies,72,B+,18,Excellent work. Keep it up!
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Religious Education,61,B-,24,Average. Put more effort into homework.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Creative Arts,63,B-,20,Steady progress. Do more revision.
ADM-1326,Peter Mwakisha,Grade 5 B,Term 1,2026,Physical & Health Education,69,B,16,Average. Put more effort into homework.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,English,75,A-,13,Good effort. Can improve with more practice.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Kiswahili,69,B,16,Steady progress. Do more revision.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Mathematics,59,C+,28,Excellent work. Keep it up!
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Science & Technology,63,B-,28,Excellent work. Keep it up!
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Social Studies,75,A-,16,Satisfactory. Needs consistent practice.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Religious Education,67,B,16,Average. Put more effort into homework.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Creative Arts,80,A,7,Needs significant improvement. Revise earlier topics.
ADM-1327,Florence Kipsang,Grade 5 B,Term 1,2026,Physical & Health Education,82,A,6,Satisfactory. Needs consistent practice.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,English,86,A,4,Average. Put more effort into homework.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Kiswahili,72,B+,13,Average. Put more effort into homework.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Mathematics,68,B,18,Steady progress. Do more revision.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Science & Technology,86,A,3,Performs well under guidance. Keep practising.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Social Studies,82,A,6,Good effort. Can improve with more practice.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Religious Education,79,A-,9,Good effort. Can improve with more practice.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Creative Arts,92,A,2,Average. Put more effort into homework.
ADM-1328,Anthony Namukuru,Grade 5 B,Term 1,2026,Physical & Health Education,85,A,3,Shows understanding of key concepts.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,English,61,B-,24,Excellent work. Keep it up!
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Kiswahili,79,A-,8,Below average. Extra tuition recommended.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Mathematics,73,B+,9,Satisfactory. Needs consistent practice.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Science & Technology,69,B,22,Satisfactory. Needs consistent practice.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Social Studies,67,B,22,Excellent work. Keep it up!
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Religious Education,63,B-,22,Satisfactory. Needs consistent practice.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Creative Arts,72,B+,12,Very good performance. Focus on the few weak areas.
ADM-1329,Sophia Wekesa,Grade 5 B,Term 1,2026,Physical & Health Education,60,B-,23,Very good performance. Focus on the few weak areas.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,English,60,B-,26,Steady progress. Do more revision.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Kiswahili,62,B-,24,Steady progress. Do more revision.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Mathematics,73,B+,10,Very good performance. Focus on the few weak areas.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Science & Technology,70,B+,19,Good effort. Can improve with more practice.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Social Studies,82,A,7,Shows understanding of key concepts.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Religious Education,74,B+,14,Excellent work. Keep it up!
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Creative Arts,75,A-,9,Below average. Extra tuition recommended.
ADM-1330,Edna Nzioka,Grade 5 B,Term 1,2026,Physical & Health Education,73,B+,13,Satisfactory. Needs consistent practice.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,English,48,C-,30,Very good performance. Focus on the few weak areas.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Kiswahili,69,B,17,Good effort. Can improve with more practice.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Mathematics,63,B-,24,Good effort. Can improve with more practice.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Science & Technology,64,B-,26,Very good performance. Focus on the few weak areas.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Social Studies,47,C-,29,Good effort. Can improve with more practice.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Religious Education,59,C+,25,Very good performance. Focus on the few weak areas.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Creative Arts,68,B,17,Steady progress. Do more revision.
ADM-1331,Samuel Anyango,Grade 5 B,Term 1,2026,Physical & Health Education,48,C-,29,Very good performance. Focus on the few weak areas.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,English,96,A,2,Good effort. Can improve with more practice.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Kiswahili,87,A,3,Performs well under guidance. Keep practising.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Mathematics,100,A,1,Needs significant improvement. Revise earlier topics.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Science & Technology,97,A,1,Satisfactory. Needs consistent practice.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Social Studies,89,A,1,Shows understanding of key concepts.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Religious Education,100,A,1,Very good performance. Focus on the few weak areas.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Creative Arts,100,A,1,Average. Put more effort into homework.
ADM-1332,Stephen Nzioka,Grade 5 B,Term 1,2026,Physical & Health Education,98,A,1,Needs significant improvement. Revise earlier topics.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,English,76,A-,10,Average. Put more effort into homework.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Kiswahili,77,A-,9,Average. Put more effort into homework.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Mathematics,80,A,4,Excellent work. Keep it up!
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Science & Technology,84,A,4,Average. Put more effort into homework.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Social Studies,83,A,5,Very good performance. Focus on the few weak areas.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Religious Education,78,A-,10,Shows understanding of key concepts.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Creative Arts,67,B,19,Average. Put more effort into homework.
ADM-1333,Rebecca Muthoka,Grade 5 B,Term 1,2026,Physical & Health Education,82,A,7,Below average. Extra tuition recommended.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,English,56,C+,28,Good effort. Can improve with more practice.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Kiswahili,65,B,22,Very good performance. Focus on the few weak areas.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Mathematics,67,B,20,Average. Put more effort into homework.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Science & Technology,72,B+,15,Excellent work. Keep it up!
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Social Studies,71,B+,19,Steady progress. Do more revision.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Religious Education,55,C+,30,Satisfactory. Needs consistent practice.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Creative Arts,84,A,4,Very good performance. Focus on the few weak areas.
ADM-1334,Alice Kirimi,Grade 5 B,Term 1,2026,Physical & Health Education,69,B,17,Excellent work. Keep it up!
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,English,66,B,22,Good effort. Can improve with more practice.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Kiswahili,88,A,2,Steady progress. Do more revision.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Mathematics,75,A-,8,Needs significant improvement. Revise earlier topics.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Science & Technology,73,B+,12,Good effort. Can improve with more practice.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Social Studies,77,A-,13,Performs well under guidance. Keep practising.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Religious Education,78,A-,11,Very good performance. Focus on the few weak areas.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Creative Arts,61,B-,26,Steady progress. Do more revision.
ADM-1335,Lawrence Mugambi,Grade 5 B,Term 1,2026,Physical & Health Education,73,B+,14,Satisfactory. Needs consistent practice.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,English,67,B,19,Good effort. Can improve with more practice.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Kiswahili,56,C+,29,Steady progress. Do more revision.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Mathematics,70,B+,14,Satisfactory. Needs consistent practice.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Science & Technology,66,B,23,Very good performance. Focus on the few weak areas.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Social Studies,47,C-,30,Very good performance. Focus on the few weak areas.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Religious Education,66,B,19,Very good performance. Focus on the few weak areas.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Creative Arts,63,B-,21,Average. Put more effort into homework.
ADM-1336,Mark Kinyua,Grade 5 B,Term 1,2026,Physical & Health Education,65,B,21,Satisfactory. Needs consistent practice.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,English,72,B+,16,Average. Put more effort into homework.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Kiswahili,58,C+,26,Good effort. Can improve with more practice.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Mathematics,72,B+,12,Good effort. Can improve with more practice.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Science & Technology,72,B+,16,Steady progress. Do more revision.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Social Studies,63,B-,24,Steady progress. Do more revision.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Religious Education,64,B-,21,Steady progress. Do more revision.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Creative Arts,73,B+,11,Steady progress. Do more revision.
ADM-1337,Rebecca Sichangi,Grade 5 B,Term 1,2026,Physical & Health Education,75,A-,12,Steady progress. Do more revision.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,English,75,A-,14,Performs well under guidance. Keep practising.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Kiswahili,58,C+,27,Good effort. Can improve with more practice.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Mathematics,69,B,15,Very good performance. Focus on the few weak areas.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Science & Technology,65,B,24,Very good performance. Focus on the few weak areas.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Social Studies,63,B-,25,Average. Put more effort into homework.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Religious Education,73,B+,15,Average. Put more effort into homework.
ADM-1338,Sophia Mwinyi,Grade 5 B,Term 1,2026,Creative Arts,63,B-,22,Very good performance. Focus on the few weak areas.
