FirstName,LastName,Admission No,Class,Stream,Gender,Date of Birth,Admission Date,Status,Guardian Name,Relationship,Guardian Phone,Alternative Phone,Guardian Email,Home Address,Emergency Contact,Emergency Phone
Samuel,Mugambi,ADM-1258,Grade 4,A,Male,2016-10-16,2026-08-25,Active,David Mugambi,Father,0722 675 185,0740 433 606,david.mugambi@icloud.com,"Umoja, Uasin Gishu",Francis Mpaine,0712 800 115
Lawrence,Tianai,ADM-1259,Grade 4,A,Male,2017-07-10,2026-05-03,Active,Harrison Tianai,Father,0792 213 541,,harrison.tianai@yahoo.com,"Thika Road, Nakuru",Thomas Syombua,0751 882 359
Gloria,Omollo,ADM-1260,Grade 4,A,Female,2017-08-24,2023-02-24,Active,Godfrey Omollo,Father,0772 554 404,,godfrey.omollo@icloud.com,"Lake View, Garissa",David Achieng,0751 626 215
Vincent,Suleiman,ADM-1261,Grade 4,B,Male,2016-08-05,2026-11-16,Active,Timothy Suleiman,Father,0751 771 322,,timothy.suleiman@outlook.com,"Milimani Estate, Nakuru",Francis Farah,0772 396 762
Cynthia,Kithinji,ADM-1262,Grade 4,B,Female,2016-06-06,2023-04-13,Active,Judith Kithinji,Aunt,0711 318 928,0751 788 982,judith.kithinji@gmail.com,"Milimani Estate, Kilifi",Fridah Oduor,0712 785 536
Sharon,Kariuki,ADM-1263,Grade 4,B,Female,2016-05-10,2023-12-27,Active,Joseph Kariuki,Father,0733 160 682,,joseph.kariuki@gmail.com,"Huruma, Kiambu",Hannah Akoth,0740 595 242
Peninah,Kimeu,ADM-1264,Grade 4,B,Female,2017-12-05,2023-08-01,Active,Amos Kimeu,Father,0782 574 729,,,"Annex, Nakuru",Anthony Barasa,0740 363 756
Magdalene,Kaelo,ADM-1265,Grade 4,B,Female,2017-02-02,2023-01-21,Active,Joseph Kaelo,Father,0701 223 701,0762 968 487,joseph.kaelo@icloud.com,"Elgon View, Nakuru",Edna Ciawi,0711 892 737
Kipchoge,Wamalwa,ADM-1266,Grade 4,B,Male,2016-07-26,2023-07-15,Active,Brian Wamalwa,Father,0762 547 899,,brian.wamalwa@protonmail.com,"Section 58, Kiambu",Timothy Wanjiku,0740 737 364
Charles,Hassan,ADM-1267,Grade 4,B,Male,2017-11-24,2023-10-08,Active,David Hassan,Father,0722 445 422,,david.hassan@icloud.com,"Obunga, Mombasa",Dorcas Kaelo,0712 895 757
Sarah,Maina,ADM-1268,Grade 4,B,Female,2016-07-24,2023-05-26,Active,Caroline Maina,Aunt,0711 100 715,,caroline.maina@gmail.com,"Langas, Mombasa",Michael Juma,0712 354 368
Doreen,Kariuki,ADM-1269,Grade 4,B,Female,2017-10-17,2023-01-23,Active,Frank Kariuki,Father,0740 126 762,,frank.kariuki@yahoo.com,"Olasiti, Mombasa",Magdalene Anyango,0701 133 720
Moses,Kimutai,ADM-1270,Grade 4,B,Male,2017-01-06,2023-04-22,Active,Isaac Kimutai,Father,0792 424 974,0740 861 923,isaac.kimutai@icloud.com,"Lake View, Kiambu",Rebecca Wanjiku,0792 522 864
Charity,Chepkirui,ADM-1271,Grade 4,B,Female,2017-03-11,2024-03-06,Active,Edwin Chepkirui,Father,0711 474 613,0733 729 351,edwin.chepkirui@outlook.com,"Kiamunyi, Uasin Gishu",Kennedy Nasimiyu,0792 137 505
Catherine,Mbithi,ADM-1272,Grade 4,B,Female,2017-09-09,2023-02-16,Active,Susan Mbithi,Mother,0792 278 502,0733 801 147,,"South B, Nakuru",Catherine Zawadi,0711 841 516
Kiplangat,Oduor,ADM-1273,Grade 4,B,Male,2017-06-18,2023-02-20,Active,Donald Oduor,Father,0701 411 736,0782 331 645,donald.oduor@icloud.com,"Olasiti, Nairobi",Joseph Nassor,0711 338 891
Zipporah,Kigen,ADM-1274,Grade 4,B,Female,2017-07-19,2023-01-10,Active,Martin Kigen,Father,0772 984 739,0701 380 319,,"Kasarani, Nakuru",Agnes Otieno,0792 476 400
Florence,Obiero,ADM-1275,Grade 4,B,Female,2017-09-02,2026-05-05,Active,Brian Obiero,Father,0712 546 343,,brian.obiero@yahoo.com,"Lanet, Nairobi",Mark Nassor,0733 547 151
Rachael,Githinji,ADM-1276,Grade 4,B,Female,2016-11-02,2026-06-19,Active,Ian Githinji,Father,0712 991 603,0762 148 493,,"Njiro, Mombasa",Trevor Nzomo,0711 251 864
Anthony,Njoroge,ADM-1277,Grade 4,B,Male,2016-10-19,2026-07-14,Active,Julius Njoroge,Uncle,0740 378 524,,,"Langas, Machakos",Peninah Auma,0701 147 937
Mark,Pekeri,ADM-1278,Grade 4,B,Male,2016-05-11,2023-02-02,Active,Zachary Pekeri,Father,0701 560 414,,zachary.pekeri@protonmail.com,"Kondele, Garissa",Shalom Juma,0792 700 193
Joyce,Lugalia,ADM-1279,Grade 4,B,Female,2016-10-10,2023-12-03,Active,Isaac Lugalia,Father,0762 133 675,,isaac.lugalia@outlook.com,"Huruma, Garissa",Elijah Sironka,0782 191 565
Samuel,Nandwa,ADM-1280,Grade 4,B,Male,2016-08-18,2023-12-18,Active,Moses Nandwa,Grandfather,0782 170 605,0733 703 796,moses.nandwa@outlook.com,"Nyawita, Kiambu",Naomi Ali,0712 670 816
Collins,Kipchumba,ADM-1281,Grade 4,B,Male,2017-12-19,2023-05-08,Active,Caroline Kipchumba,Mother,0733 729 140,0722 912 350,caroline.kipchumba@yahoo.com,"Shabab, Machakos",Charity Leshan,0792 329 953
Timothy,Chebet,ADM-1282,Grade 4,B,Male,2016-07-20,2023-06-04,Active,Kennedy Chebet,Father,0740 896 523,,kennedy.chebet@protonmail.com,"Kapsoya, Arusha",Martha Sironka,0722 782 282
Timothy,Kamau,ADM-1283,Grade 4,B,Male,2017-12-17,2023-10-19,Active,Godfrey Kamau,Father,0712 823 252,0772 191 255,godfrey.kamau@yahoo.com,"Sakina, Kiambu",Zipporah Kaelo,0782 765 116
Caleb,Kamau,ADM-1284,Grade 4,B,Male,2016-02-21,2023-07-28,Active,Amos Kamau,Father,0733 485 856,,,"Olasiti, Bungoma",Abigail Mwakisha,0782 446 690
Tabitha,Oluoch,ADM-1285,Grade 4,B,Female,2016-11-21,2026-04-26,Active,John Oluoch,Father,0733 498 948,,,"Kimandolu, Kisumu",Monica Mburu,0740 457 737
Kipchoge,Anyango,ADM-1286,Grade 4,B,Male,2017-09-05,2023-08-17,Active,Samuel Anyango,Father,0762 863 806,0772 613 358,samuel.anyango@outlook.com,"Baraka, Mombasa",Edna Kipsang,0782 554 847
Zachary,Namukuru,ADM-1287,Grade 4,B,Male,2016-08-04,2023-01-28,Active,Frank Namukuru,Father,0751 943 736,0733 173 778,frank.namukuru@icloud.com,"Sakina, Nakuru",Rebecca Nasimiyu,0712 858 849
Caleb,Wanjala,ADM-1288,Grade 4,B,Male,2016-11-28,2025-04-11,Active,Emmanuel Wanjala,Father,0733 259 155,0772 715 801,,"Embakasi, Kilifi",Julia Mutiso,0722 627 637
Hellen,Odhiambo,ADM-1289,Grade 4,B,Female,2016-03-21,2026-10-07,Active,David Odhiambo,Uncle,0792 271 565,0733 441 148,david.odhiambo@outlook.com,"Kapsoya, Kisumu",Esther Njuguna,0722 737 754
Moses,Omollo,ADM-1290,Grade 4,B,Male,2017-04-24,2023-02-01,Active,Timothy Omollo,Father,0733 455 285,,timothy.omollo@protonmail.com,"Naka, Kakamega",Eric Natepo,0711 639 546
Dorcas,Ruto,ADM-1291,Grade 4,B,Female,2016-01-25,2023-12-28,Active,Maureen Ruto,Aunt,0712 697 669,,maureen.ruto@yahoo.com,"Lanet, Kisumu",Monica Ciawi,0711 944 786
Dorcas,Suleiman,ADM-1292,Grade 4,B,Female,2017-04-07,2026-08-15,Active,James Suleiman,Father,0711 147 703,0740 304 869,,"Donholm, Kilifi",Julius Mugo,0762 591 137
Vincent,Makokha,ADM-1293,Grade 5,A,Male,2016-05-24,2022-08-24,Active,David Makokha,Father,0711 775 323,,david.makokha@icloud.com,"Thika Road, Kiambu",Amara Ogot,0711 355 190
Edna,Juma,ADM-1294,Grade 5,A,Female,2015-05-28,2023-11-02,Active,Stephen Juma,Father,0751 579 897,,,"Bahati, Uasin Gishu",Magdalene Kamau,0782 822 367
Mercy,Karanja,ADM-1295,Grade 5,A,Female,2015-02-11,2022-04-28,Active,Peninah Karanja,Mother,0701 967 462,0772 474 552,peninah.karanja@yahoo.com,"Manyatta, Nakuru",Susan Sein,0751 707 145
Hannah,Njuguna,ADM-1296,Grade 5,A,Female,2015-10-07,2024-03-16,Active,Martin Njuguna,Father,0751 966 202,,martin.njuguna@outlook.com,"South B, Uasin Gishu",Rachael Barasa,0712 812 152
John,Leshan,ADM-1297,Grade 5,A,Male,2015-06-20,2023-04-19,Active,Charles Leshan,Father,0772 827 988,,charles.leshan@protonmail.com,"Nyalenda, Bungoma",Peninah Nasimiyu,0701 395 838
Joyce,Noor,ADM-1298,Grade 5,A,Female,2016-06-19,2026-03-24,Active,Samuel Noor,Father,0712 280 931,0782 486 875,,"Shabab, Arusha",Hannah Adan,0733 166 869
Alex,Korir,ADM-1299,Grade 5,A,Male,2015-11-12,2022-10-16,Active,Dorcas Korir,Aunt,0712 494 508,0711 235 992,dorcas.korir@gmail.com,"Embakasi, Nairobi",Purity Akoth,0751 849 785
Lawrence,Musalia,ADM-1300,Grade 5,A,Male,2016-08-07,2026-12-15,Active,Eric Musalia,Father,0772 135 481,0722 805 460,eric.musalia@protonmail.com,"Kiamunyi, Kilifi",Winfred Kilonzo,0711 749 824
Veronica,Mutiso,ADM-1301,Grade 5,A,Female,2015-05-04,2022-03-26,Active,Elijah Mutiso,Father,0701 259 794,0782 310 380,,"Sakina, Arusha",Doreen Mugo,0782 256 204
Dorcas,Syombua,ADM-1302,Grade 5,A,Female,2016-12-16,2023-03-10,Active,Peter Syombua,Father,0701 355 393,,peter.syombua@protonmail.com,"Manyatta, Nakuru",Caroline Wambua,0733 414 692
Brian,Omondi,ADM-1303,Grade 5,A,Male,2016-04-18,2022-11-26,Active,Patrick Omondi,Father,0772 169 124,,,"Milimani Kisumu, Makueni",David Waweru,0701 150 570
Priscilla,Wafula,ADM-1304,Grade 5,A,Female,2015-03-23,2022-04-16,Active,Esther Wafula,Guardian,0762 315 949,,esther.wafula@icloud.com,"Milimani Kisumu, Nairobi",Olivia Leshan,0782 888 141
Patrick,Tanui,ADM-1305,Grade 5,A,Male,2016-12-20,2022-02-28,Active,Susan Tanui,Mother,0740 882 333,0701 173 166,susan.tanui@protonmail.com,"Lanet, Nakuru",Judith Onyango,0762 197 313
Anthony,Kimeu,ADM-1306,Grade 5,A,Male,2016-10-21,2022-08-05,Active,Simon Kimeu,Father,0711 803 300,0751 878 122,simon.kimeu@gmail.com,"South C, Kakamega",Magdalene Noor,0751 411 643
Kennedy,Achieng,ADM-1307,Grade 5,A,Male,2016-11-21,2022-03-17,Active,Brian Achieng,Grandfather,0740 187 471,,brian.achieng@icloud.com,"Milimani, Machakos",Naomi Nandwa,0711 169 321
Doreen,Makokha,ADM-1308,Grade 5,A,Female,2016-03-02,2022-10-09,Active,Charity Makokha,Mother,0733 457 308,0772 880 496,,"Kiamunyi, Nakuru",Donald Hassan,0711 550 958
Ibrahim,Natepo,ADM-1309,Grade 5,A,Male,2016-07-28,2024-04-15,Active,Samuel Natepo,Father,0733 224 634,0712 912 939,samuel.natepo@protonmail.com,"Pioneer, Nakuru",Julia Farah,0782 995 267
Kipchoge,Adhiambo,ADM-1310,Grade 5,A,Male,2015-07-28,2022-11-15,Active,Nathaniel Adhiambo,Father,0711 610 517,0782 181 902,,"Sekei, Nakuru",Tabitha Mburu,0740 858 256
Amos,Chepkirui,ADM-1311,Grade 5,A,Male,2016-08-02,2022-04-13,Active,Julius Chepkirui,Uncle,0701 802 152,0772 817 943,,"Thika Road, Machakos",Charity Adhiambo,0762 505 848
Esther,Kipsang,ADM-1312,Grade 5,A,Female,2015-10-17,2023-11-28,Active,Olivia Kipsang,Grandmother,0751 238 985,,,"Ruiru, Nakuru",Benjamin Tianai,0711 775 491
Shalom,Kimutai,ADM-1313,Grade 5,A,Female,2016-09-19,2026-02-09,Active,Elijah Kimutai,Father,0782 689 812,0792 191 721,,"Sekei, Kisumu",Joyce Nthiga,0722 568 211
Donald,Njenga,ADM-1314,Grade 5,A,Male,2016-04-20,2022-10-20,Active,Ian Njenga,Father,0792 593 223,,ian.njenga@outlook.com,"Section 58, Kilifi",Priscilla Mugo,0782 643 408
Abigail,Kinyua,ADM-1315,Grade 5,A,Female,2016-06-10,2022-01-16,Active,Anthony Kinyua,Father,0740 918 197,,anthony.kinyua@outlook.com,"Migosi, Kisumu",Hannah Farah,0712 267 921
Winfred,Kariuki,ADM-1316,Grade 5,A,Female,2016-02-14,2022-04-27,Active,Godfrey Kariuki,Father,0782 289 926,0733 657 732,godfrey.kariuki@icloud.com,"Migosi, Mombasa",Amara Baariu,0722 988 470
Ian,Omar,ADM-1317,Grade 5,A,Male,2016-11-09,2026-09-16,Active,Veronica Omar,Grandmother,0712 589 678,,veronica.omar@gmail.com,"Naka, Nakuru",Veronica Njeru,0701 173 816
Teresia,Mutuku,ADM-1318,Grade 5,A,Female,2015-01-16,2023-08-02,Active,Peninah Mutuku,Mother,0722 496 961,0751 966 483,,"Kahawa Wendani, Kiambu",Daniel Juma,0751 741 246
Trevor,Adhiambo,ADM-1319,Grade 5,A,Male,2015-08-07,2022-06-02,Active,Samuel Adhiambo,Father,0772 962 262,,samuel.adhiambo@outlook.com,"Bahati, Nakuru",Kiplangat Kinyua,0762 382 205
George,Okello,ADM-1320,Grade 5,A,Male,2016-03-10,2022-08-27,Active,Trevor Okello,Father,0751 542 999,0782 521 696,,"Kondele, Nakuru",Charity Ndolo,0762 665 387
Dorcas,Maina,ADM-1321,Grade 5,A,Female,2015-01-04,2024-07-28,Active,Benjamin Maina,Father,0712 552 194,0712 401 640,,"Langas, Bungoma",Zipporah Kathambi,0733 616 825
Sonia,Simiyu,ADM-1322,Grade 5,A,Female,2016-06-16,2022-12-21,Active,Magdalene Simiyu,Mother,0762 986 811,,magdalene.simiyu@gmail.com,"Kayole, Kiambu",Purity Mwangi,0772 894 884
Daniel,Maina,ADM-1323,Grade 5,A,Male,2016-02-02,2024-12-15,Active,Lilian Maina,Grandmother,0772 568 841,0751 440 187,lilian.maina@icloud.com,"Kimandolu, Nakuru",Martha Kosgei,0772 667 639
Tabitha,Sironka,ADM-1324,Grade 5,A,Female,2016-03-20,2022-09-11,Active,Gideon Sironka,Father,0740 252 618,0712 945 400,gideon.sironka@gmail.com,"Kahawa Wendani, Uasin Gishu",Harrison Githinji,0782 547 932
Veronica,Pekeri,ADM-1325,Grade 5,B,Female,2015-09-24,2022-04-28,Active,Karen Pekeri,Mother,0712 457 524,,karen.pekeri@outlook.com,"Sekei, Uasin Gishu",Joyce Mwangi,0711 548 395
Peter,Mwakisha,ADM-1326,Grade 5,B,Male,2016-06-03,2022-05-20,Active,Vincent Mwakisha,Father,0733 440 368,,vincent.mwakisha@gmail.com,"Sekei, Nairobi",Martin Choge,0722 998 147
Florence,Kipsang,ADM-1327,Grade 5,B,Female,2016-09-17,2022-12-07,Active,Lawrence Kipsang,Father,0733 281 963,0711 873 336,,"Ruiru, Kiambu",David Korir,0722 585 937
Anthony,Namukuru,ADM-1328,Grade 5,B,Male,2016-04-17,2022-03-02,Active,Samuel Namukuru,Father,0751 485 788,0712 403 230,samuel.namukuru@icloud.com,"Sekei, Kiambu",Samuel Ogot,0722 614 216
Sophia,Wekesa,ADM-1329,Grade 5,B,Female,2015-04-14,2022-05-23,Active,Edwin Wekesa,Father,0712 404 460,,edwin.wekesa@outlook.com,"Umoja, Uasin Gishu",Hannah Mbithi,0762 840 252
Edna,Nzioka,ADM-1330,Grade 5,B,Female,2015-06-06,2023-12-15,Active,Nicholas Nzioka,Father,0762 841 250,,,"Kayole, Kakamega",Catherine Mpaine,0701 362 338
Samuel,Anyango,ADM-1331,Grade 5,B,Male,2016-09-11,2022-12-19,Active,Janet Anyango,Mother,0722 532 192,0733 486 421,janet.anyango@protonmail.com,"Shabab, Nakuru",Julius Owuor,0772 516 695
Stephen,Nzioka,ADM-1332,Grade 5,B,Male,2016-12-27,2022-04-21,Active,Martin Nzioka,Father,0733 619 661,,martin.nzioka@protonmail.com,"Langas, Nakuru",George Mwanzia,0711 748 145
Rebecca,Muthoka,ADM-1333,Grade 5,B,Female,2015-12-08,2023-02-04,Active,Caroline Muthoka,Mother,0782 403 329,0782 107 860,caroline.muthoka@gmail.com,"Sakina, Kisumu",Olivia Kathambi,0740 531 765
Alice,Kirimi,ADM-1334,Grade 5,B,Female,2015-05-21,2023-10-19,Active,Samuel Kirimi,Father,0701 490 923,,samuel.kirimi@icloud.com,"Umoja, Nakuru",Purity Wanjala,0751 380 493
Lawrence,Mugambi,ADM-1335,Grade 5,B,Male,2016-05-26,2023-03-24,Active,Gideon Mugambi,Father,0712 350 472,0772 209 919,,"Kasarani, Nakuru",Naomi Kithinji,0751 439 373
Mark,Kinyua,ADM-1336,Grade 5,B,Male,2015-06-20,2022-05-01,Active,John Kinyua,Father,0740 605 610,0772 527 635,john.kinyua@gmail.com,"Sakina, Kakamega",Frank Nandwa,0722 928 154
Rebecca,Sichangi,ADM-1337,Grade 5,B,Female,2015-02-06,2023-04-11,Active,Luke Sichangi,Father,0751 536 376,0722 160 137,luke.sichangi@icloud.com,"Shabab, Kilifi",Winnie Khaemba,0701 810 932
Sophia,Mwinyi,ADM-1338,Grade 5,B,Female,2016-09-19,2025-03-11,Active,Purity Mwinyi,Mother,0782 870 642,,purity.mwinyi@protonmail.com,"Sekei, Arusha",Teresia Auma,0711 856 779
Wesley,Pekeri,ADM-1339,Grade 5,B,Male,2015-07-26,2022-06-20,Active,Wesley Pekeri,Uncle,0740 334 311,,wesley.pekeri@outlook.com,"Kaptembwo, Nakuru",Peninah Odera,0751 485 158
Beatrice,Mutua,ADM-1340,Grade 5,B,Female,2016-09-22,2022-02-21,Active,Hillary Mutua,Grandfather,0772 219 710,,,"Kiamunyi, Arusha",Magdalene Nthiga,0772 568 205
Gideon,Farah,ADM-1341,Grade 5,B,Male,2016-05-19,2022-12-23,Active,Hillary Farah,Father,0772 762 944,,hillary.farah@yahoo.com,"Annex, Nakuru",Simon Kombo,0722 283 274
Doreen,Obiero,ADM-1342,Grade 5,B,Female,2016-04-14,2024-10-15,Active,Eunice Obiero,Grandmother,0740 843 875,,eunice.obiero@yahoo.com,"Migosi, Kilifi",James Kioko,0701 727 436
Esther,Wanjala,ADM-1343,Grade 5,B,Female,2016-09-10,2022-03-28,Active,Andrew Wanjala,Father,0782 648 351,0762 152 101,andrew.wanjala@icloud.com,"South C, Bungoma",Rachael Nassor,0782 870 361
Joshua,Ambani,ADM-1344,Grade 5,B,Male,2015-11-22,2023-07-17,Active,Caleb Ambani,Father,0792 879 708,0782 370 146,,"Lanet, Kisumu",Magdalene Mwangi,0792 689 704
Brian,Chepkoech,ADM-1345,Grade 5,B,Male,2016-01-16,2023-01-16,Active,Kiplangat Chepkoech,Uncle,0733 421 170,0740 721 175,,"Njiro, Nairobi",Simon Mwirigi,0792 609 442
Rachael,Gitau,ADM-1346,Grade 5,B,Female,2015-12-05,2022-09-22,Active,Donald Gitau,Father,0792 325 338,,donald.gitau@yahoo.com,"Ruiru, Kisumu",Emmanuel Omollo,0751 708 633
Olivia,Wanjala,ADM-1347,Grade 5,B,Female,2016-01-13,2022-04-23,Active,Kiplangat Wanjala,Father,0733 468 462,0722 518 253,kiplangat.wanjala@protonmail.com,"Kiamunyi, Kilifi",Emily Mwirigi,0722 505 748
Amos,Nzioka,ADM-1348,Grade 5,B,Male,2015-01-19,2022-05-04,Active,Zachary Nzioka,Father,0712 421 383,0751 316 424,zachary.nzioka@yahoo.com,"Lanet, Kiambu",Judith Wairimu,0751 398 664
Anthony,Kirimi,ADM-1349,Grade 5,B,Male,2015-11-05,2022-11-04,Active,Isaac Kirimi,Father,0782 554 800,0711 171 633,,"Lanet, Nairobi",John Mwinyi,0712 433 415
Wesley,Bii,ADM-1350,Grade 5,B,Male,2016-06-18,2022-03-20,Active,Hillary Bii,Father,0711 986 957,0740 542 895,hillary.bii@gmail.com,"Kahawa Wendani, Arusha",Patrick Mbithe,0762 965 899
Godfrey,Lugalia,ADM-1351,Grade 5,B,Male,2016-11-08,2023-09-15,Active,Victor Lugalia,Father,0751 660 149,0740 355 663,victor.lugalia@yahoo.com,"Pioneer, Machakos",Cynthia Leshan,0772 810 161
Joyce,Chebet,ADM-1352,Grade 5,B,Female,2015-04-26,2022-11-03,Active,Amos Chebet,Father,0772 891 220,,,"Elgon View, Makueni",Shalom Wamalwa,0712 375 406
Stephen,Tianai,ADM-1353,Grade 5,B,Male,2016-07-22,2025-04-18,Active,Patrick Tianai,Father,0751 216 654,0701 728 711,,"Embakasi, Kisumu",Caroline Maina,0762 892 708
Patrick,Barasa,ADM-1354,Grade 5,B,Male,2015-08-21,2022-03-27,Active,Beth Barasa,Aunt,0701 557 657,0740 236 768,beth.barasa@protonmail.com,"Kahawa Wendani, Nakuru",Collins Njoroge,0751 702 836
Meshack,Wamalwa,ADM-1355,Grade 5,B,Male,2015-07-22,2022-03-10,Active,Florence Wamalwa,Mother,0740 182 863,,florence.wamalwa@protonmail.com,"Nyawita, Makueni",Charles Mganga,0782 876 210
Kipchoge,Kamau,ADM-1356,Grade 5,B,Male,2016-04-13,2022-09-06,Active,David Kamau,Father,0772 226 761,0722 753 330,david.kamau@gmail.com,"Kondele, Kakamega",Veronica Kombo,0733 849 179
Dorcas,Mugo,ADM-1357,Grade 6,A,Female,2015-06-09,2022-01-28,Active,Edna Mugo,Mother,0762 428 682,0751 483 171,edna.mugo@gmail.com,"Manyatta, Nakuru",Mark Oduor,0772 720 541
Karen,Korir,ADM-1358,Grade 6,A,Female,2014-11-14,2021-06-06,Active,Donald Korir,Father,0740 306 555,,donald.korir@icloud.com,"Kaptembwo, Kisumu",Doreen Tanui,0762 850 129
Andrew,Juma,ADM-1359,Grade 6,A,Male,2015-12-21,2021-09-15,Active,Purity Juma,Mother,0792 655 138,,,"Manyatta, Nairobi",Yvonne Maundu,0722 451 321
Gideon,Mburu,ADM-1360,Grade 6,A,Male,2014-03-14,2021-02-19,Active,Meshack Mburu,Father,0792 521 139,0782 977 335,meshack.mburu@icloud.com,"Nyawita, Kisumu",Caroline Wambui,0740 521 311
Ian,Ali,ADM-1361,Grade 6,A,Male,2015-07-02,2021-03-20,Active,Susan Ali,Aunt,0762 479 236,0740 688 601,,"Sakina, Arusha",Grace Sein,0782 942 167
Monica,Odhiambo,ADM-1362,Grade 6,A,Female,2014-03-21,2021-10-09,Active,Godfrey Odhiambo,Uncle,0701 219 843,0782 438 922,godfrey.odhiambo@icloud.com,"Kiamunyi, Mombasa",Caroline Wairimu,0782 986 964
John,Barasa,ADM-1363,Grade 6,A,Male,2015-04-24,2025-08-15,Active,Eric Barasa,Father,0782 485 705,,eric.barasa@yahoo.com,"Pioneer, Machakos",Sophia Simiyu,0733 608 353
Winfred,Ambani,ADM-1364,Grade 6,A,Female,2014-11-12,2021-11-26,Active,Sonia Ambani,Mother,0701 883 550,,sonia.ambani@gmail.com,"Embakasi, Nakuru",Rachael Chepkirui,0792 584 485
Edwin,Tianai,ADM-1365,Grade 6,A,Male,2015-01-14,2021-09-08,Active,Brenda Tianai,Mother,0740 494 537,,brenda.tianai@protonmail.com,"Nyawita, Makueni",Dorcas Oduor,0711 202 599
Harrison,Kimutai,ADM-1366,Grade 6,A,Male,2014-04-08,2021-04-09,Active,Timothy Kimutai,Father,0733 278 443,0782 925 944,timothy.kimutai@gmail.com,"Milimani Kisumu, Nakuru",Michael Mwakisha,0740 218 922
Charity,Tuwei,ADM-1367,Grade 6,A,Female,2015-05-05,2021-10-03,Active,Beth Tuwei,Grandmother,0722 132 123,,beth.tuwei@outlook.com,"Baraka, Uasin Gishu",Sonia Sichangi,0792 394 795
Stephen,Wanjiku,ADM-1368,Grade 6,A,Male,2014-02-21,2021-04-01,Active,Luke Wanjiku,Father,0712 894 913,0782 816 667,luke.wanjiku@gmail.com,"Umoja, Mombasa",Caroline Juma,0782 660 759
Catherine,Igweta,ADM-1369,Grade 6,A,Female,2015-07-05,2021-10-28,Active,Hillary Igweta,Father,0792 205 104,0712 389 244,hillary.igweta@protonmail.com,"Kasarani, Machakos",Edwin Obiero,0792 659 609
Joyce,Ndungu,ADM-1370,Grade 6,A,Female,2014-05-06,2024-12-18,Active,Beth Ndungu,Guardian,0740 385 552,0733 470 171,beth.ndungu@gmail.com,"Annex, Kilifi",Alice Kosgei,0762 327 258
Agnes,Igweta,ADM-1371,Grade 6,A,Female,2014-12-06,2021-05-09,Active,Felix Igweta,Father,0782 916 816,0701 754 367,,"Embakasi, Kiambu",Beth Kiprop,0772 213 999
Tabitha,Owino,ADM-1372,Grade 6,A,Female,2015-07-03,2021-10-05,Active,Anthony Owino,Grandfather,0712 766 260,0751 673 231,,"Huruma, Nakuru",Brian Natepo,0722 499 259
Donald,Auma,ADM-1373,Grade 6,A,Male,2015-12-03,2021-06-17,Active,Luke Auma,Father,0733 823 773,0762 860 887,luke.auma@gmail.com,"Manyatta, Nairobi",Edwin Zawadi,0772 446 582
Luke,Gitau,ADM-1374,Grade 6,A,Male,2015-06-04,2021-11-27,Active,Purity Gitau,Mother,0751 214 663,0772 795 956,purity.gitau@outlook.com,"Kahawa Wendani, Uasin Gishu",Alice Kipchumba,0722 491 330
James,Kathambi,ADM-1375,Grade 6,A,Male,2014-06-09,2022-02-26,Active,Teresia Kathambi,Mother,0751 213 198,0711 480 771,teresia.kathambi@outlook.com,"Umoja, Nakuru",Eunice Khisa,0722 623 985
Diana,Njuguna,ADM-1376,Grade 6,A,Female,2014-02-24,2021-11-08,Active,Ian Njuguna,Father,0712 843 216,,ian.njuguna@protonmail.com,"Thika Road, Kiambu",Eric Mwinyi,0751 310 359
Winnie,Odhiambo,ADM-1377,Grade 6,A,Female,2014-08-10,2021-06-14,Active,Magdalene Odhiambo,Mother,0751 124 628,0762 896 973,magdalene.odhiambo@gmail.com,"Kondele, Bungoma",Sophia Obiero,0782 876 936
Abigail,Mganga,ADM-1378,Grade 6,A,Female,2014-09-23,2024-02-28,Active,Anthony Mganga,Father,0701 813 489,,anthony.mganga@yahoo.com,"Baraka, Kilifi",Joshua Kilonzo,0722 191 762
Peninah,Korir,ADM-1379,Grade 6,A,Female,2015-11-09,2024-02-21,Active,Diana Korir,Mother,0762 262 557,0733 421 773,diana.korir@gmail.com,"South C, Garissa",James Wafula,0701 304 418
Nathaniel,Kimeu,ADM-1380,Grade 6,A,Male,2014-02-23,2025-11-10,Active,Amara Kimeu,Aunt,0711 627 550,,amara.kimeu@icloud.com,"Pioneer, Bungoma",Donald Kiprop,0751 479 140
Gladys,Ali,ADM-1381,Grade 6,A,Female,2015-03-06,2021-08-18,Active,David Ali,Father,0772 939 428,0751 861 924,david.ali@yahoo.com,"Milimani, Arusha",Winfred Kipchumba,0751 382 158
Esther,Suleiman,ADM-1382,Grade 6,A,Female,2014-05-11,2021-02-24,Active,Frank Suleiman,Father,0701 787 891,0762 722 293,frank.suleiman@icloud.com,"Sakina, Mombasa",Samuel Mwirigi,0751 516 552
Emmanuel,Mutiso,ADM-1383,Grade 6,A,Male,2014-12-15,2021-08-04,Active,Collins Mutiso,Father,0733 641 741,0733 776 396,collins.mutiso@yahoo.com,"Shabab, Nakuru",Joshua Chepkirui,0772 272 217
Francis,Omar,ADM-1384,Grade 6,A,Male,2014-03-02,2021-07-08,Active,Godfrey Omar,Grandfather,0792 826 554,0701 156 521,,"Njiro, Mombasa",Michael Baariu,0792 149 274
