Receipt No,Admission No,Student Name,Class,Term,Year,Amount (KES),Payment Method,Reference No,Paid By,Payment Date,Recorded By
BP-2026-1292,ADM-1235,Kennedy Chemtai,Grade 4 A,Term 3,2026,9000,M-PESA,QWH-25587,Brian Chemtai,2026-10-04,Rebecca Wanjala
BP-2026-1293,ADM-1236,Harrison Kitonga,Grade 4 A,Term 1,2026,30000,Bank Transfer,RTN-98555,Mark Kitonga,2026-01-28,Rebecca Wanjala
BP-2026-1294,ADM-1236,Harrison Kitonga,Grade 4 A,Term 2,2026,8000,Cheque,CHQ-80150,Mark Kitonga,2026-06-01,Andreah Smithh
BP-2026-1295,ADM-1236,Harrison Kitonga,Grade 4 A,Term 2,2026,7000,M-PESA,QWH-16145,Mark Kitonga,2026-06-01,Andreah Smithh
BP-2026-1296,ADM-1236,Harrison Kitonga,Grade 4 A,Term 3,2026,3200,Cheque,CHQ-72153,Mark Kitonga,2026-09-29,Rebecca Wanjala
BP-2026-1297,ADM-1237,Teresia Kinyua,Grade 4 A,Term 1,2026,8500,Cash,CSH-46539,George Kinyua,2026-01-27,Rebecca Wanjala
BP-2026-1298,ADM-1237,Teresia Kinyua,Grade 4 A,Term 1,2026,8300,Cash,CSH-33881,George Kinyua,2026-02-13,Andreah Smithh
BP-2026-1299,ADM-1237,Teresia Kinyua,Grade 4 A,Term 2,2026,15000,Cheque,CHQ-62003,George Kinyua,2026-05-25,Monica Wanjiru
BP-2026-1300,ADM-1237,Teresia Kinyua,Grade 4 A,Term 3,2026,4700,M-PESA,QWH-43334,George Kinyua,2026-09-16,Monica Wanjiru
BP-2026-1301,ADM-1237,Teresia Kinyua,Grade 4 A,Term 3,2026,2200,Bank Transfer,RTN-37746,George Kinyua,2026-09-30,Rebecca Wanjala
BP-2026-1302,ADM-1237,Teresia Kinyua,Grade 4 A,Term 3,2026,2100,Cash,CSH-47270,George Kinyua,2026-10-31,Andreah Smithh
BP-2026-1303,ADM-1238,Kiplangat Sichangi,Grade 4 A,Term 1,2026,19800,Cash,CSH-10904,Edwin Sichangi,2026-01-16,Monica Wanjiru
BP-2026-1304,ADM-1238,Kiplangat Sichangi,Grade 4 A,Term 2,2026,7800,Cash,CSH-99480,Edwin Sichangi,2026-05-24,Monica Wanjiru
BP-2026-1305,ADM-1238,Kiplangat Sichangi,Grade 4 A,Term 2,2026,10200,M-PESA,QWH-63494,Edwin Sichangi,2026-06-01,Monica Wanjiru
BP-2026-1306,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 1,2026,10600,Bank Transfer,RTN-49513,Julius Pekeri,2026-01-30,Andreah Smithh
BP-2026-1307,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 1,2026,6400,M-PESA,QWH-67502,Julius Pekeri,2026-01-25,Monica Wanjiru
BP-2026-1308,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 1,2026,13000,M-PESA,QWH-81504,Julius Pekeri,2026-02-09,Rebecca Wanjala
BP-2026-1309,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 2,2026,5300,M-PESA,QWH-61413,Julius Pekeri,2026-05-09,Rebecca Wanjala
BP-2026-1310,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 2,2026,4300,M-PESA,QWH-54704,Julius Pekeri,2026-05-24,Monica Wanjiru
BP-2026-1311,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 2,2026,5400,Cash,CSH-66885,Julius Pekeri,2026-07-01,Rebecca Wanjala
BP-2026-1312,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 3,2026,2300,Cheque,CHQ-55100,Julius Pekeri,2026-09-26,Rebecca Wanjala
BP-2026-1313,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 3,2026,3000,Cash,CSH-84389,Julius Pekeri,2026-09-26,Andreah Smithh
BP-2026-1314,ADM-1239,Kiplangat Pekeri,Grade 4 A,Term 3,2026,3700,M-PESA,QWH-81494,Julius Pekeri,2026-10-15,Monica Wanjiru
BP-2026-1315,ADM-1240,Joshua Ciawi,Grade 4 A,Term 1,2026,30000,Bank Transfer,RTN-81432,Lawrence Ciawi,2026-01-10,Rebecca Wanjala
BP-2026-1316,ADM-1240,Joshua Ciawi,Grade 4 A,Term 2,2026,7500,M-PESA,QWH-67600,Lawrence Ciawi,2026-05-28,Monica Wanjiru
BP-2026-1317,ADM-1240,Joshua Ciawi,Grade 4 A,Term 2,2026,7500,Cash,CSH-23472,Lawrence Ciawi,2026-05-26,Monica Wanjiru
BP-2026-1318,ADM-1240,Joshua Ciawi,Grade 4 A,Term 3,2026,1200,Bank Transfer,RTN-65475,Lawrence Ciawi,2026-09-24,Andreah Smithh
BP-2026-1319,ADM-1240,Joshua Ciawi,Grade 4 A,Term 3,2026,2000,Cash,CSH-98979,Lawrence Ciawi,2026-09-26,Andreah Smithh
BP-2026-1320,ADM-1241,Trevor Igweta,Grade 4 A,Term 1,2026,37000,Cash,CSH-73906,Thomas Igweta,2026-02-01,Rebecca Wanjala
BP-2026-1321,ADM-1241,Trevor Igweta,Grade 4 A,Term 2,2026,5300,Cash,CSH-36094,Thomas Igweta,2026-05-25,Rebecca Wanjala
BP-2026-1322,ADM-1241,Trevor Igweta,Grade 4 A,Term 2,2026,2900,Cash,CSH-23150,Thomas Igweta,2026-05-23,Monica Wanjiru
BP-2026-1323,ADM-1241,Trevor Igweta,Grade 4 A,Term 2,2026,2800,M-PESA,QWH-16169,Thomas Igweta,2026-06-19,Monica Wanjiru
BP-2026-1324,ADM-1241,Trevor Igweta,Grade 4 A,Term 3,2026,7200,Bank Transfer,RTN-12522,Thomas Igweta,2026-09-12,Rebecca Wanjala
BP-2026-1325,ADM-1241,Trevor Igweta,Grade 4 A,Term 3,2026,8800,Bank Transfer,RTN-55157,Thomas Igweta,2026-10-07,Monica Wanjiru
BP-2026-1326,ADM-1242,Emily Gatwiri,Grade 4 A,Term 1,2026,10400,M-PESA,QWH-29664,Moses Gatwiri,2026-01-29,Andreah Smithh
BP-2026-1327,ADM-1242,Emily Gatwiri,Grade 4 A,Term 1,2026,8400,M-PESA,QWH-40297,Moses Gatwiri,2026-02-04,Rebecca Wanjala
BP-2026-1328,ADM-1242,Emily Gatwiri,Grade 4 A,Term 1,2026,11200,Cash,CSH-62862,Moses Gatwiri,2026-02-10,Rebecca Wanjala
BP-2026-1329,ADM-1242,Emily Gatwiri,Grade 4 A,Term 2,2026,5800,Cash,CSH-75740,Moses Gatwiri,2026-05-29,Rebecca Wanjala
BP-2026-1330,ADM-1242,Emily Gatwiri,Grade 4 A,Term 2,2026,9200,Cheque,CHQ-58495,Moses Gatwiri,2026-06-07,Rebecca Wanjala
BP-2026-1331,ADM-1242,Emily Gatwiri,Grade 4 A,Term 3,2026,9000,M-PESA,QWH-34020,Moses Gatwiri,2026-09-20,Monica Wanjiru
BP-2026-1332,ADM-1243,Anthony Muthoka,Grade 4 A,Term 1,2026,14300,Bank Transfer,RTN-53817,Luke Muthoka,2026-01-20,Monica Wanjiru
BP-2026-1333,ADM-1243,Anthony Muthoka,Grade 4 A,Term 1,2026,15700,Bank Transfer,RTN-24151,Luke Muthoka,2026-01-22,Andreah Smithh
BP-2026-1334,ADM-1243,Anthony Muthoka,Grade 4 A,Term 2,2026,6200,M-PESA,QWH-35102,Luke Muthoka,2026-05-31,Andreah Smithh
BP-2026-1335,ADM-1243,Anthony Muthoka,Grade 4 A,Term 2,2026,2200,Cash,CSH-81217,Luke Muthoka,2026-06-06,Rebecca Wanjala
BP-2026-1336,ADM-1243,Anthony Muthoka,Grade 4 A,Term 2,2026,6600,M-PESA,QWH-53022,Luke Muthoka,2026-06-30,Monica Wanjiru
BP-2026-1337,ADM-1243,Anthony Muthoka,Grade 4 A,Term 3,2026,4600,Cash,CSH-24650,Luke Muthoka,2026-09-22,Andreah Smithh
BP-2026-1338,ADM-1243,Anthony Muthoka,Grade 4 A,Term 3,2026,4400,Bank Transfer,RTN-19446,Luke Muthoka,2026-10-12,Monica Wanjiru
BP-2026-1339,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 1,2026,38700,Bank Transfer,RTN-99845,Ian Nzomo,2026-01-27,Monica Wanjiru
BP-2026-1340,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 2,2026,10800,Cheque,CHQ-57472,Ian Nzomo,2026-06-02,Monica Wanjiru
BP-2026-1341,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 2,2026,4600,Cheque,CHQ-92630,Ian Nzomo,2026-06-16,Rebecca Wanjala
BP-2026-1342,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 2,2026,12600,M-PESA,QWH-90060,Ian Nzomo,2026-06-23,Rebecca Wanjala
BP-2026-1343,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 3,2026,7400,Bank Transfer,RTN-25325,Ian Nzomo,2026-09-24,Rebecca Wanjala
BP-2026-1344,ADM-1244,Magdalene Nzomo,Grade 4 A,Term 3,2026,8900,M-PESA,QWH-35279,Ian Nzomo,2026-09-28,Rebecca Wanjala
BP-2026-1345,ADM-1245,Michael Wamalwa,Grade 4 A,Term 1,2026,11300,M-PESA,QWH-55116,Andrew Wamalwa,2026-01-23,Rebecca Wanjala
BP-2026-1346,ADM-1245,Michael Wamalwa,Grade 4 A,Term 1,2026,18700,M-PESA,QWH-14335,Andrew Wamalwa,2026-02-09,Rebecca Wanjala
BP-2026-1347,ADM-1245,Michael Wamalwa,Grade 4 A,Term 2,2026,4300,Bank Transfer,RTN-84288,Andrew Wamalwa,2026-05-12,Monica Wanjiru
BP-2026-1348,ADM-1245,Michael Wamalwa,Grade 4 A,Term 2,2026,3900,M-PESA,QWH-75856,Andrew Wamalwa,2026-06-06,Andreah Smithh
BP-2026-1349,ADM-1245,Michael Wamalwa,Grade 4 A,Term 2,2026,6800,Bank Transfer,RTN-75168,Andrew Wamalwa,2026-07-01,Andreah Smithh
BP-2026-1350,ADM-1245,Michael Wamalwa,Grade 4 A,Term 3,2026,4900,M-PESA,QWH-61539,Andrew Wamalwa,2026-09-22,Rebecca Wanjala
BP-2026-1351,ADM-1245,Michael Wamalwa,Grade 4 A,Term 3,2026,4100,Cash,CSH-15533,Andrew Wamalwa,2026-10-12,Monica Wanjiru
BP-2026-1352,ADM-1246,Brian Anyango,Grade 4 A,Term 1,2026,30000,Cash,CSH-70844,Yvonne Anyango,2026-01-31,Andreah Smithh
BP-2026-1353,ADM-1246,Brian Anyango,Grade 4 A,Term 2,2026,4200,Bank Transfer,RTN-44783,Yvonne Anyango,2026-05-12,Andreah Smithh
BP-2026-1354,ADM-1246,Brian Anyango,Grade 4 A,Term 2,2026,5100,Cash,CSH-94439,Yvonne Anyango,2026-05-25,Monica Wanjiru
BP-2026-1355,ADM-1246,Brian Anyango,Grade 4 A,Term 2,2026,5700,Cheque,CHQ-55603,Yvonne Anyango,2026-06-25,Andreah Smithh
BP-2026-1356,ADM-1246,Brian Anyango,Grade 4 A,Term 3,2026,1600,Bank Transfer,RTN-12302,Yvonne Anyango,2026-09-26,Monica Wanjiru
BP-2026-1357,ADM-1246,Brian Anyango,Grade 4 A,Term 3,2026,1300,Cash,CSH-96607,Yvonne Anyango,2026-10-03,Monica Wanjiru
BP-2026-1358,ADM-1246,Brian Anyango,Grade 4 A,Term 3,2026,2500,Cash,CSH-91729,Yvonne Anyango,2026-10-22,Rebecca Wanjala
BP-2026-1359,ADM-1247,Florence Farah,Grade 4 A,Term 1,2026,16300,M-PESA,QWH-80957,Frank Farah,2026-01-31,Rebecca Wanjala
BP-2026-1360,ADM-1247,Florence Farah,Grade 4 A,Term 1,2026,13700,M-PESA,QWH-58793,Frank Farah,2026-01-23,Rebecca Wanjala
BP-2026-1361,ADM-1247,Florence Farah,Grade 4 A,Term 2,2026,7900,M-PESA,QWH-63378,Frank Farah,2026-05-16,Andreah Smithh
BP-2026-1362,ADM-1247,Florence Farah,Grade 4 A,Term 2,2026,3900,Cheque,CHQ-64841,Frank Farah,2026-06-16,Monica Wanjiru
BP-2026-1363,ADM-1247,Florence Farah,Grade 4 A,Term 2,2026,3200,Cheque,CHQ-41987,Frank Farah,2026-06-14,Andreah Smithh
BP-2026-1364,ADM-1248,Kevin Mutoro,Grade 4 A,Term 1,2026,30000,Cash,CSH-87883,Collins Mutoro,2026-01-12,Andreah Smithh
BP-2026-1365,ADM-1248,Kevin Mutoro,Grade 4 A,Term 2,2026,5600,M-PESA,QWH-41021,Collins Mutoro,2026-05-14,Rebecca Wanjala
BP-2026-1366,ADM-1248,Kevin Mutoro,Grade 4 A,Term 2,2026,9400,M-PESA,QWH-29945,Collins Mutoro,2026-06-12,Monica Wanjiru
BP-2026-1367,ADM-1248,Kevin Mutoro,Grade 4 A,Term 3,2026,2700,Cheque,CHQ-62012,Collins Mutoro,2026-09-17,Rebecca Wanjala
BP-2026-1368,ADM-1248,Kevin Mutoro,Grade 4 A,Term 3,2026,3200,M-PESA,QWH-96147,Collins Mutoro,2026-10-16,Rebecca Wanjala
BP-2026-1369,ADM-1249,Teresia Kimeu,Grade 4 A,Term 1,2026,13200,Cash,CSH-60272,Judith Kimeu,2026-01-25,Rebecca Wanjala
BP-2026-1370,ADM-1249,Teresia Kimeu,Grade 4 A,Term 1,2026,7600,M-PESA,QWH-91833,Judith Kimeu,2026-02-03,Andreah Smithh
BP-2026-1371,ADM-1249,Teresia Kimeu,Grade 4 A,Term 1,2026,9200,M-PESA,QWH-97040,Judith Kimeu,2026-02-10,Rebecca Wanjala
BP-2026-1372,ADM-1249,Teresia Kimeu,Grade 4 A,Term 2,2026,6000,M-PESA,QWH-30657,Judith Kimeu,2026-06-01,Rebecca Wanjala
BP-2026-1373,ADM-1249,Teresia Kimeu,Grade 4 A,Term 2,2026,2500,Cash,CSH-21981,Judith Kimeu,2026-06-17,Rebecca Wanjala
BP-2026-1374,ADM-1249,Teresia Kimeu,Grade 4 A,Term 2,2026,6500,Bank Transfer,RTN-84439,Judith Kimeu,2026-06-24,Rebecca Wanjala
BP-2026-1375,ADM-1250,Anthony Khisa,Grade 4 A,Term 1,2026,30000,M-PESA,QWH-49009,Simon Khisa,2026-01-12,Andreah Smithh
BP-2026-1376,ADM-1250,Anthony Khisa,Grade 4 A,Term 2,2026,4700,Cash,CSH-69728,Simon Khisa,2026-06-01,Andreah Smithh
BP-2026-1377,ADM-1250,Anthony Khisa,Grade 4 A,Term 2,2026,7000,Cash,CSH-51103,Simon Khisa,2026-06-11,Monica Wanjiru
BP-2026-1378,ADM-1250,Anthony Khisa,Grade 4 A,Term 3,2026,1700,Bank Transfer,RTN-22690,Simon Khisa,2026-09-21,Rebecca Wanjala
BP-2026-1379,ADM-1250,Anthony Khisa,Grade 4 A,Term 3,2026,2600,Cash,CSH-99804,Simon Khisa,2026-10-10,Monica Wanjiru
BP-2026-1380,ADM-1251,Hellen Omondi,Grade 4 A,Term 1,2026,13700,Bank Transfer,RTN-79353,Purity Omondi,2026-01-19,Andreah Smithh
BP-2026-1381,ADM-1251,Hellen Omondi,Grade 4 A,Term 1,2026,8900,Cheque,CHQ-37220,Purity Omondi,2026-01-29,Rebecca Wanjala
BP-2026-1382,ADM-1251,Hellen Omondi,Grade 4 A,Term 1,2026,7400,Cash,CSH-86941,Purity Omondi,2026-02-10,Andreah Smithh
BP-2026-1383,ADM-1251,Hellen Omondi,Grade 4 A,Term 2,2026,4200,M-PESA,QWH-65804,Purity Omondi,2026-05-15,Monica Wanjiru
BP-2026-1384,ADM-1251,Hellen Omondi,Grade 4 A,Term 2,2026,10800,M-PESA,QWH-98586,Purity Omondi,2026-05-26,Rebecca Wanjala
BP-2026-1385,ADM-1252,Lilian Suleiman,Grade 4 A,Term 1,2026,11900,M-PESA,QWH-83654,Simon Suleiman,2026-02-03,Andreah Smithh
BP-2026-1386,ADM-1252,Lilian Suleiman,Grade 4 A,Term 1,2026,18100,Cheque,CHQ-30563,Simon Suleiman,2026-02-11,Andreah Smithh
BP-2026-1387,ADM-1252,Lilian Suleiman,Grade 4 A,Term 2,2026,18000,Bank Transfer,RTN-18284,Simon Suleiman,2026-05-08,Andreah Smithh
BP-2026-1388,ADM-1253,Martha Kimutai,Grade 4 A,Term 1,2026,30000,Cash,CSH-98335,Martin Kimutai,2026-01-11,Andreah Smithh
BP-2026-1389,ADM-1253,Martha Kimutai,Grade 4 A,Term 2,2026,6100,Cash,CSH-80986,Martin Kimutai,2026-05-23,Andreah Smithh
BP-2026-1390,ADM-1253,Martha Kimutai,Grade 4 A,Term 2,2026,8900,Bank Transfer,RTN-97276,Martin Kimutai,2026-06-11,Andreah Smithh
BP-2026-1391,ADM-1253,Martha Kimutai,Grade 4 A,Term 3,2026,2000,M-PESA,QWH-35664,Martin Kimutai,2026-09-21,Rebecca Wanjala
BP-2026-1392,ADM-1253,Martha Kimutai,Grade 4 A,Term 3,2026,1900,Cash,CSH-88704,Martin Kimutai,2026-09-30,Andreah Smithh
BP-2026-1393,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 1,2026,9100,M-PESA,QWH-93967,Benjamin Kinyua,2026-01-16,Andreah Smithh
BP-2026-1394,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 1,2026,9400,Cheque,CHQ-98673,Benjamin Kinyua,2026-02-12,Monica Wanjiru
BP-2026-1395,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 1,2026,11500,M-PESA,QWH-90446,Benjamin Kinyua,2026-02-15,Monica Wanjiru
BP-2026-1396,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 2,2026,5700,Cash,CSH-49381,Benjamin Kinyua,2026-06-01,Andreah Smithh
BP-2026-1397,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 2,2026,3400,Bank Transfer,RTN-68258,Benjamin Kinyua,2026-06-04,Rebecca Wanjala
BP-2026-1398,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 2,2026,5900,Cash,CSH-58596,Benjamin Kinyua,2026-06-19,Andreah Smithh
BP-2026-1399,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 3,2026,2800,Bank Transfer,RTN-46135,Benjamin Kinyua,2026-09-11,Rebecca Wanjala
BP-2026-1400,ADM-1254,Kipchoge Kinyua,Grade 4 A,Term 3,2026,3500,M-PESA,QWH-11357,Benjamin Kinyua,2026-10-07,Rebecca Wanjala
BP-2026-1401,ADM-1255,Sophia Kithinji,Grade 4 A,Term 1,2026,10000,Cash,CSH-10018,Dorcas Kithinji,2026-01-23,Rebecca Wanjala
BP-2026-1402,ADM-1255,Sophia Kithinji,Grade 4 A,Term 1,2026,20000,M-PESA,QWH-39261,Dorcas Kithinji,2026-01-28,Monica Wanjiru
BP-2026-1403,ADM-1255,Sophia Kithinji,Grade 4 A,Term 2,2026,4700,Bank Transfer,RTN-45593,Dorcas Kithinji,2026-05-13,Rebecca Wanjala
BP-2026-1404,ADM-1255,Sophia Kithinji,Grade 4 A,Term 2,2026,10300,M-PESA,QWH-49350,Dorcas Kithinji,2026-06-12,Monica Wanjiru
BP-2026-1405,ADM-1255,Sophia Kithinji,Grade 4 A,Term 3,2026,1300,Cash,CSH-53788,Dorcas Kithinji,2026-09-25,Monica Wanjiru
BP-2026-1406,ADM-1255,Sophia Kithinji,Grade 4 A,Term 3,2026,1700,Cash,CSH-26221,Dorcas Kithinji,2026-09-29,Rebecca Wanjala
BP-2026-1407,ADM-1255,Sophia Kithinji,Grade 4 A,Term 3,2026,1900,Bank Transfer,RTN-60039,Dorcas Kithinji,2026-10-25,Monica Wanjiru
BP-2026-1408,ADM-1256,Lilian Ambani,Grade 4 A,Term 1,2026,14600,M-PESA,QWH-61092,Collins Ambani,2026-01-23,Rebecca Wanjala
BP-2026-1409,ADM-1256,Lilian Ambani,Grade 4 A,Term 1,2026,4200,M-PESA,QWH-49326,Collins Ambani,2026-02-03,Monica Wanjiru
BP-2026-1410,ADM-1256,Lilian Ambani,Grade 4 A,Term 1,2026,11200,Bank Transfer,RTN-35058,Collins Ambani,2026-02-07,Rebecca Wanjala
BP-2026-1411,ADM-1256,Lilian Ambani,Grade 4 A,Term 2,2026,12300,Cheque,CHQ-96961,Collins Ambani,2026-05-20,Andreah Smithh
BP-2026-1412,ADM-1256,Lilian Ambani,Grade 4 A,Term 3,2026,3100,M-PESA,QWH-81621,Collins Ambani,2026-09-15,Andreah Smithh
BP-2026-1413,ADM-1256,Lilian Ambani,Grade 4 A,Term 3,2026,2900,Bank Transfer,RTN-78368,Collins Ambani,2026-10-04,Rebecca Wanjala
BP-2026-1414,ADM-1257,Thomas Adan,Grade 4 A,Term 1,2026,30000,Cash,CSH-85585,James Adan,2026-01-19,Rebecca Wanjala
BP-2026-1415,ADM-1257,Thomas Adan,Grade 4 A,Term 2,2026,4500,M-PESA,QWH-89702,James Adan,2026-05-07,Andreah Smithh
BP-2026-1416,ADM-1257,Thomas Adan,Grade 4 A,Term 2,2026,2300,Cash,CSH-76612,James Adan,2026-06-16,Andreah Smithh
BP-2026-1417,ADM-1257,Thomas Adan,Grade 4 A,Term 2,2026,4300,Cash,CSH-54144,James Adan,2026-07-02,Andreah Smithh
BP-2026-1418,ADM-1257,Thomas Adan,Grade 4 A,Term 3,2026,1500,Cash,CSH-90538,James Adan,2026-10-03,Rebecca Wanjala
BP-2026-1419,ADM-1257,Thomas Adan,Grade 4 A,Term 3,2026,800,Cash,CSH-78393,James Adan,2026-10-04,Monica Wanjiru
BP-2026-1420,ADM-1257,Thomas Adan,Grade 4 A,Term 3,2026,1800,Cheque,CHQ-74195,James Adan,2026-10-20,Rebecca Wanjala
BP-2026-1421,ADM-1258,Samuel Mugambi,Grade 4 A,Term 1,2026,30000,Bank Transfer,RTN-94888,David Mugambi,2026-01-08,Andreah Smithh
BP-2026-1422,ADM-1258,Samuel Mugambi,Grade 4 A,Term 2,2026,6700,Bank Transfer,RTN-83519,David Mugambi,2026-05-18,Monica Wanjiru
BP-2026-1423,ADM-1258,Samuel Mugambi,Grade 4 A,Term 2,2026,2900,M-PESA,QWH-58423,David Mugambi,2026-06-03,Andreah Smithh
BP-2026-1424,ADM-1258,Samuel Mugambi,Grade 4 A,Term 2,2026,5400,Cash,CSH-70572,David Mugambi,2026-07-04,Andreah Smithh
BP-2026-1425,ADM-1259,Lawrence Tianai,Grade 4 A,Term 1,2026,30000,Bank Transfer,RTN-37137,Harrison Tianai,2026-01-30,Andreah Smithh
BP-2026-1426,ADM-1259,Lawrence Tianai,Grade 4 A,Term 2,2026,6200,Cash,CSH-75656,Harrison Tianai,2026-05-20,Andreah Smithh
BP-2026-1427,ADM-1259,Lawrence Tianai,Grade 4 A,Term 2,2026,2300,Cash,CSH-54500,Harrison Tianai,2026-06-04,Andreah Smithh
BP-2026-1428,ADM-1259,Lawrence Tianai,Grade 4 A,Term 2,2026,6500,Bank Transfer,RTN-71529,Harrison Tianai,2026-06-18,Rebecca Wanjala
BP-2026-1429,ADM-1259,Lawrence Tianai,Grade 4 A,Term 3,2026,4700,Cash,CSH-45512,Harrison Tianai,2026-10-03,Andreah Smithh
BP-2026-1430,ADM-1259,Lawrence Tianai,Grade 4 A,Term 3,2026,2300,Cheque,CHQ-26933,Harrison Tianai,2026-10-04,Monica Wanjiru
BP-2026-1431,ADM-1259,Lawrence Tianai,Grade 4 A,Term 3,2026,2000,M-PESA,QWH-62595,Harrison Tianai,2026-10-12,Rebecca Wanjala
BP-2026-1432,ADM-1260,Gloria Omollo,Grade 4 A,Term 1,2026,8000,M-PESA,QWH-67474,Godfrey Omollo,2026-01-17,Monica Wanjiru
BP-2026-1433,ADM-1260,Gloria Omollo,Grade 4 A,Term 1,2026,7900,M-PESA,QWH-81447,Godfrey Omollo,2026-02-11,Rebecca Wanjala
BP-2026-1434,ADM-1260,Gloria Omollo,Grade 4 A,Term 1,2026,14100,Cash,CSH-75028,Godfrey Omollo,2026-02-11,Monica Wanjiru
BP-2026-1435,ADM-1260,Gloria Omollo,Grade 4 A,Term 2,2026,15000,Bank Transfer,RTN-31184,Godfrey Omollo,2026-05-13,Monica Wanjiru
BP-2026-1436,ADM-1260,Gloria Omollo,Grade 4 A,Term 3,2026,3500,M-PESA,QWH-31605,Godfrey Omollo,2026-09-18,Monica Wanjiru
BP-2026-1437,ADM-1260,Gloria Omollo,Grade 4 A,Term 3,2026,1500,Cheque,CHQ-90795,Godfrey Omollo,2026-09-28,Monica Wanjiru
BP-2026-1438,ADM-1260,Gloria Omollo,Grade 4 A,Term 3,2026,4000,M-PESA,QWH-88663,Godfrey Omollo,2026-10-28,Rebecca Wanjala
BP-2026-1439,ADM-1261,Vincent Suleiman,Grade 4 B,Term 1,2026,30000,M-PESA,QWH-98516,Timothy Suleiman,2026-01-10,Monica Wanjiru
BP-2026-1440,ADM-1261,Vincent Suleiman,Grade 4 B,Term 2,2026,5900,M-PESA,QWH-78576,Timothy Suleiman,2026-05-18,Rebecca Wanjala
BP-2026-1441,ADM-1261,Vincent Suleiman,Grade 4 B,Term 2,2026,4600,Cash,CSH-39084,Timothy Suleiman,2026-06-16,Monica Wanjiru
BP-2026-1442,ADM-1261,Vincent Suleiman,Grade 4 B,Term 2,2026,4500,Bank Transfer,RTN-24999,Timothy Suleiman,2026-06-25,Rebecca Wanjala
BP-2026-1443,ADM-1261,Vincent Suleiman,Grade 4 B,Term 3,2026,3200,M-PESA,QWH-78272,Timothy Suleiman,2026-09-22,Rebecca Wanjala
BP-2026-1444,ADM-1261,Vincent Suleiman,Grade 4 B,Term 3,2026,1800,M-PESA,QWH-38730,Timothy Suleiman,2026-10-17,Monica Wanjiru
BP-2026-1445,ADM-1261,Vincent Suleiman,Grade 4 B,Term 3,2026,1700,M-PESA,QWH-45733,Timothy Suleiman,2026-10-15,Rebecca Wanjala
BP-2026-1446,ADM-1262,Cynthia Kithinji,Grade 4 B,Term 1,2026,30000,Cash,CSH-14295,Judith Kithinji,2026-01-10,Monica Wanjiru
BP-2026-1447,ADM-1262,Cynthia Kithinji,Grade 4 B,Term 2,2026,15000,Cheque,CHQ-24629,Judith Kithinji,2026-05-25,Rebecca Wanjala
BP-2026-1448,ADM-1262,Cynthia Kithinji,Grade 4 B,Term 3,2026,2100,Bank Transfer,RTN-41492,Judith Kithinji,2026-09-15,Monica Wanjiru
BP-2026-1449,ADM-1262,Cynthia Kithinji,Grade 4 B,Term 3,2026,3300,Cash,CSH-49764,Judith Kithinji,2026-10-04,Monica Wanjiru
BP-2026-1450,ADM-1263,Sharon Kariuki,Grade 4 B,Term 1,2026,19900,Bank Transfer,RTN-30537,Joseph Kariuki,2026-02-02,Rebecca Wanjala
BP-2026-1451,ADM-1263,Sharon Kariuki,Grade 4 B,Term 1,2026,19100,M-PESA,QWH-96287,Joseph Kariuki,2026-02-16,Monica Wanjiru
BP-2026-1452,ADM-1263,Sharon Kariuki,Grade 4 B,Term 2,2026,6800,Cash,CSH-10321,Joseph Kariuki,2026-05-21,Andreah Smithh
BP-2026-1453,ADM-1263,Sharon Kariuki,Grade 4 B,Term 2,2026,17200,Cash,CSH-91040,Joseph Kariuki,2026-05-28,Rebecca Wanjala
BP-2026-1454,ADM-1263,Sharon Kariuki,Grade 4 B,Term 3,2026,4900,M-PESA,QWH-97901,Joseph Kariuki,2026-09-14,Andreah Smithh
BP-2026-1455,ADM-1263,Sharon Kariuki,Grade 4 B,Term 3,2026,5900,Cash,CSH-47532,Joseph Kariuki,2026-09-26,Monica Wanjiru
BP-2026-1456,ADM-1263,Sharon Kariuki,Grade 4 B,Term 3,2026,7200,Cash,CSH-17144,Joseph Kariuki,2026-10-24,Monica Wanjiru
BP-2026-1457,ADM-1264,Peninah Kimeu,Grade 4 B,Term 1,2026,14900,Bank Transfer,RTN-83657,Amos Kimeu,2026-01-09,Monica Wanjiru
